id,userId,persons,place_type,bathrooms,bedrooms,beds,city,neighborhood,isSuperhost,rareFind,latitude,longitude,reviewsCount,rating,type,address,cancelPolicy,Air conditioning,Kitchen,Wifi,Self check-in,PricePerDay,currency,TotalPrice
1073878661892160000,82511287,3,Room,1,1,1,Riyadh,Qurtubah,True,False,24.80926307,46.77332695,15,4.93,Entire rental unit,"Riyadh, Riyadh Province, Saudi Arabia",CANCEL_BETTER_STRICT_WITH_GRACE_PERIOD,1,1,1,1,246,SAR,5887
782693125495290000,457114904,2,Suite,1,1,1,Riyadh,Al Rawdah,True,False,24.7657,46.73104,77,4.88,Entire rental unit,"Riyadh, Riyadh Province, Saudi Arabia",CANCEL_FLEXIBLE,1,1,1,1,228,SAR,5470
1187737059673350000,271232175,1,Studio,1,1,1,Riyadh,As Sahafah,False,False,24.86715836,46.62522689,4,4.75,Entire rental unit,"Riyadh, Riyadh Province, Saudi Arabia",CANCEL_MODERATE,1,0,0,1,101,SAR,2418
1079769690527640000,312154751,2,Studio,1,1,1,Riyadh,Al Ghadeer,True,False,24.77060789,46.63111098,19,5.0,Entire condo,"Riyadh, Riyadh Province, Saudi Arabia",CANCEL_FLEXIBLE,1,0,1,1,181,SAR,2710
1067566052887350000,434487366,2,Studio,1,1,0,Riyadh,As Sahafah,False,False,24.80757986,46.59004169,8,4.88,Entire rental unit,"Riyadh, Riyadh Province, Saudi Arabia",CANCEL_FLEXIBLE,1,1,1,1,145,SAR,2168
1169669991041660000,578679470,3,Apartment,1,1,1,Riyadh,As Sahafah,False,False,24.83337529,46.64543856,12,5.0,Entire rental unit,"Riyadh, Riyadh Province, Saudi Arabia",CANCEL_FLEXIBLE,1,1,1,1,309,SAR,4625
54021160,75661288,2,Studio,1,1,1,Riyadh,Al Olaya,False,False,24.70718,46.67169,5,3.8,Entire rental unit,"Riyadh, Riyadh Province, Saudi Arabia",CANCEL_MODERATE,1,1,1,1,155,SAR,2313
1179015748367190000,497723396,2,Studio,1,1,1,Riyadh,Al Izdihar,False,False,24.7656043,46.70717578,24,4.88,Entire rental unit,"Riyadh, Riyadh Province, Saudi Arabia",CANCEL_FLEXIBLE,1,0,1,1,167,SAR,2491
1122995387128120000,380928684,4,Apartment,1,1,0,Riyadh,Al Manar,True,False,24.69446015,46.81457945,3,5.0,Entire rental unit,"Riyadh, Riyadh Province, Saudi Arabia",CANCEL_FLEXIBLE,1,1,1,0,122,SAR,1820
1197108677939350000,469704679,2,Studio,1,1,1,Riyadh,Al Nafel,False,False,24.76893,46.67417,11,4.91,Entire rental unit,"Riyadh, Riyadh Province, Saudi Arabia",CANCEL_FLEXIBLE,1,0,1,1,208,SAR,3117
1185003714353040000,522134619,2,Other,1,1,1,Riyadh,As Sahafah,True,False,24.88001234,46.62360741,15,5.0,Entire rental unit,"Riyadh, Riyadh Province, Saudi Arabia",CANCEL_FLEXIBLE,1,0,1,1,168,SAR,2507
1058131722767040000,553553645,4,Bedroom,1,1,2,Riyadh,As Sahafah,True,False,24.83753584,46.64367377,16,4.94,Entire rental unit,"Riyadh, Riyadh Province, Saudi Arabia",CANCEL_FLEXIBLE,1,1,1,1,299,SAR,4484
1093553578156450000,409564541,2,Studio,1,1,2,Riyadh,Al Ghadeer,True,False,24.77636206,46.62720367,24,4.96,Entire rental unit,"Riyadh, Riyadh Province, Saudi Arabia",CANCEL_STRICT_14_WITH_GRACE_PERIOD,1,0,1,1,186,SAR,2783
1184986386507070000,522134619,2,Other,1,1,1,Riyadh,As Sahafah,True,False,24.88197288,46.62556204,14,4.93,Entire rental unit,"Riyadh, Riyadh Province, Saudi Arabia",CANCEL_FLEXIBLE,1,0,1,1,202,SAR,3018
820988911854904000,430833417,2,Bedroom,1,1,1,Riyadh,As Sahafah,False,False,24.80566,46.6004,70,4.81,Entire rental unit,"Riyadh, Riyadh Province, Saudi Arabia",CANCEL_MODERATE,1,0,1,1,177,SAR,2647
54242523,439861574,2,Studio,1,1,1,Riyadh,Al Hamra,True,False,24.81323,46.79102,72,4.76,Entire rental unit,"Riyadh, Riyadh Province, Saudi Arabia",CANCEL_FLEXIBLE,1,1,1,1,165,SAR,2461
981874554354154000,262206128,3,Studio,1,1,2,Riyadh,As Sahafah,True,False,24.8305894,46.5968689,61,4.92,Entire rental unit,"Riyadh, Riyadh Province, Saudi Arabia",CANCEL_FLEXIBLE,1,1,1,1,319,SAR,4775
1144230069531750000,574536630,3,Studio,1,1,0,Riyadh,Al Malqa,True,False,24.7911082,46.62913151,17,4.94,Entire rental unit,"Riyadh, Riyadh Province, Saudi Arabia",CANCEL_FLEXIBLE,1,0,1,1,234,SAR,3504
1209223387875960000,592163137,2,Studio,1,1,1,Riyadh,As Sahafah,False,False,24.82201218,46.63011143,6,5.0,Entire rental unit,"Riyadh, Riyadh Province, Saudi Arabia",CANCEL_FLEXIBLE,1,0,1,0,262,SAR,3922
1031193302375280000,530421047,2,Suite,1,1,1,Riyadh,Al Malqa,False,False,24.78179359,46.61932569,3,5.0,Entire guest suite,"Riyadh, Riyadh Province, Saudi Arabia",CANCEL_FLEXIBLE,1,1,1,1,285,SAR,4268
1185090968523180000,522134619,2,Other,1,1,1,Riyadh,As Sahafah,True,False,24.88018145,46.6237049,4,5.0,Entire rental unit,"Riyadh, Riyadh Province, Saudi Arabia",CANCEL_FLEXIBLE,1,0,1,1,168,SAR,2507
1130807053761050000,557083466,4,Apartment,1,1,0,Riyadh,Al Ghadeer,True,False,24.7705966,46.6330897,5,5.0,Entire rental unit,"Riyadh, Riyadh Province, Saudi Arabia",CANCEL_MODERATE,1,1,1,0,334,SAR,4999
977188996056231000,277589139,2,Studio,1,1,1,Riyadh,As Sahafah,True,False,24.81434346,46.60132187,27,4.93,Entire rental unit,"Riyadh, Riyadh Province, Saudi Arabia",CANCEL_FLEXIBLE,1,1,1,1,308,SAR,4612
1143693018781370000,403011175,2,Studio,1,1,1,Riyadh,As Sahafah,False,False,24.81312077,46.65685037,10,5.0,Entire rental unit,"Riyadh, Riyadh Province, Saudi Arabia",CANCEL_MODERATE,1,1,1,1,226,SAR,3384
